OCCRNC_YEAR,OCCRNC_MM,OCCRNC_REGN
2022,12,강원
2022,11,강원
2022,10,강원
2022,9,강원
2022,8,강원
2022,7,강원
2022,6,강원
2022,5,강원
2022,4,강원
2022,3,강원
2022,2,강원
2022,1,강원
2022,12,경기
2022,11,경기
2022,10,경기
2022,9,경기
2022,8,경기
2022,7,경기
2022,6,경기
2022,5,경기
2022,4,경기
2022,3,경기
2022,2,경기
2022,1,경기
2022,12,경남
2022,11,경남
2022,10,경남
2022,9,경남
2022,8,경남
2022,7,경남
2022,6,경남
2022,5,경남
2022,4,경남
2022,3,경남
2022,2,경남
2022,1,경남
2022,12,경북
2022,11,경북
2022,10,경북
2022,9,경북
2022,8,경북
2022,7,경북
2022,6,경북
2022,5,경북
2022,4,경북
2022,3,경북
2022,2,경북
2022,1,경북
2022,12,광주
2022,11,광주
2022,10,광주
2022,9,광주
2022,8,광주
2022,7,광주
2022,6,광주
2022,5,광주
2022,4,광주
2022,3,광주
2022,2,광주
2022,1,광주
2022,12,대구
2022,11,대구
2022,10,대구
2022,9,대구
2022,8,대구
2022,7,대구
2022,6,대구
2022,5,대구
2022,4,대구
2022,3,대구
2022,2,대구
2022,1,대구
2022,12,대전
2022,11,대전
2022,10,대전
2022,9,대전
2022,8,대전
2022,7,대전
2022,6,대전
2022,5,대전
2022,4,대전
2022,3,대전
2022,2,대전
2022,1,대전
2022,12,부산
2022,11,부산
2022,10,부산
2022,9,부산
2022,8,부산
2022,7,부산
2022,6,부산
2022,5,부산
2022,4,부산
2022,3,부산
2022,2,부산
2022,1,부산
2022,12,서울
2022,11,서울
2022,10,서울
2022,9,서울
2022,8,서울
2022,7,서울
2022,6,서울
2022,5,서울
2022,4,서울
2022,3,서울
2022,2,서울
2022,1,서울
2022,12,세종
2022,11,세종
2022,10,세종
2022,9,세종
2022,8,세종
2022,7,세종
2022,6,세종
2022,5,세종
2022,4,세종
2022,3,세종
2022,2,세종
2022,1,세종
2022,12,울산
2022,11,울산
2022,10,울산
2022,9,울산
2022,8,울산
2022,7,울산
2022,6,울산
2022,5,울산
2022,4,울산
2022,3,울산
2022,2,울산
2022,1,울산
2022,12,인천
2022,11,인천
2022,10,인천
2022,9,인천
2022,8,인천
2022,7,인천
2022,6,인천
2022,5,인천
2022,4,인천
2022,3,인천
2022,2,인천
2022,1,인천
2022,12,전남
2022,11,전남
2022,10,전남
2022,9,전남
2022,8,전남
2022,7,전남
2022,6,전남
2022,5,전남
2022,4,전남
2022,3,전남
2022,2,전남
2022,1,전남
2022,12,전북
2022,11,전북
2022,10,전북
2022,9,전북
2022,8,전북
2022,7,전북
2022,6,전북
2022,5,전북
2022,4,전북
2022,3,전북
2022,2,전북
2022,1,전북
2022,12,제주
2022,11,제주
2022,10,제주
2022,9,제주
2022,8,제주
2022,7,제주
2022,6,제주
2022,5,제주
2022,4,제주
2022,3,제주
2022,2,제주
2022,1,제주
2022,12,충남
2022,11,충남
2022,10,충남
