OCCRNC_YEAR,OCCRNC_MM,PATNT_CNT,OCCRNC_CNT,OCCRNC_VIRS
2024,08,32,1,기타바이러스
2024,08,14,2,노로바이러스
2024,08,5,1,바실러스세레우스
2024,08,296,10,병원성대장균
2024,08,210,21,불명
2024,08,151,8,살모넬라
2024,08,23,2,장염비브리오
2024,08,62,1,황색포도상구균
2024,07,7,2,기타바이러스
2024,07,191,8,노로바이러스
2024,07,163,7,병원성대장균
2024,07,1307,26,불명
2024,07,152,6,살모넬라
2024,07,109,3,캠필로박터제주니
2024,07,2,1,클로스트리디움퍼프린젠스
2024,07,35,3,황색포도상구균
2024,06,93,5,노로바이러스
2024,06,126,7,병원성대장균
2024,06,126,10,불명
2024,06,43,5,살모넬라
2024,06,58,2,캠필로박터제주니
2024,06,9,2,클로스트리디움퍼프린젠스
2024,05,60,5,기타바이러스
2024,05,301,14,노로바이러스
2024,05,49,4,병원성대장균
2024,05,84,15,불명
2024,05,184,8,살모넬라
2024,05,4,1,원충
2024,05,156,2,클로스트리디움퍼프린젠스
2024,05,73,2,황색포도상구균
2024,04,70,3,기타바이러스
2024,04,527,25,노로바이러스
2024,04,15,1,바실러스세레우스
2024,04,91,2,병원성대장균
2024,04,93,7,불명
2024,04,144,6,살모넬라
2024,04,18,1,원충
2024,04,86,4,클로스트리디움퍼프린젠스
2024,04,63,2,황색포도상구균
2024,03,6,1,기타바이러스
2024,03,664,36,노로바이러스
2024,03,29,6,불명
2024,03,90,3,살모넬라
2024,03,69,3,클로스트리디움퍼프린젠스
2024,03,100,1,황색포도상구균
2024,02,3,1,기타바이러스
2024,02,15,1,기타세균
2024,02,258,23,노로바이러스
2024,02,2,1,살모넬라
2024,02,14,1,클로스트리디움퍼프린젠스
2024,01,433,41,노로바이러스
2024,01,25,1,바실러스세레우스
2024,01,2,1,병원성대장균
2024,01,26,7,불명
2024,01,62,1,살모넬라
2024,01,113,1,클로스트리디움퍼프린젠스
2023,12,152,10,노로바이러스
2023,12,18,1,바실러스세레우스
2023,12,3,1,병원성대장균
2023,12,127,5,불명
2023,12,15,2,살모넬라
2023,11,18,1,기타바이러스
2023,11,63,2,노로바이러스
2023,11,23,1,병원성대장균
2023,11,58,8,불명
2023,11,204,4,살모넬라
2023,11,26,1,캠필로박터제주니
2023,11,49,1,클로스트리디움퍼프린젠스
2023,11,6,1,황색포도상구균
2023,10,29,2,병원성대장균
2023,10,64,12,불명
2023,10,241,5,살모넬라
2023,10,4,1,원충
2023,10,18,1,캠필로박터제주니
2023,10,362,7,클로스트리디움퍼프린젠스
2023,10,17,1,황색포도상구균
2023,09,9,1,바실러스세레우스
2023,09,738,14,병원성대장균
2023,09,56,11,불명
2023,09,623,6,살모넬라
2023,09,19,3,원충
2023,09,4,1,장염비브리오
2023,09,79,3,캠필로박터제주니
2023,09,49,2,클로스트리디움퍼프린젠스
2023,09,13,2,황색포도상구균
2023,08,3,1,바실러스세레우스
2023,08,473,9,병원성대장균
2023,08,54,12,불명
2023,08,409,10,살모넬라
2023,08,4,2,원충
2023,08,22,2,클로스트리디움퍼프린젠스
2023,08,12,1,황색포도상구균
2023,07,6,1,기타세균
2023,07,10,1,노로바이러스
2023,07,11,2,바실러스세레우스
2023,07,868,13,병원성대장균
2023,07,56,10,불명
2023,07,477,8,살모넬라
2023,07,76,2,장염비브리오
2023,07,59,4,캠필로박터제주니
2023,06,4,1,노로바이러스
2023,06,78,3,병원성대장균
2023,06,101,14,불명
2023,06,132,7,살모넬라
2023,06,9,2,원충
2023,06,62,2,클로스트리디움퍼프린젠스
2023,06,17,1,황색포도상구균
2023,05,10,1,기타바이러스
2023,05,5,1,노로바이러스
2023,05,6,1,병원성대장균
2023,05,89,13,불명
2023,05,448,6,살모넬라
2023,05,130,4,캠필로박터제주니
2023,05,66,2,클로스트리디움퍼프린젠스
2023,04,198,6,노로바이러스
2023,04,18,1,바실러스세레우스
2023,04,160,14,불명
2023,04,8,2,원충
2023,04,102,3,클로스트리디움퍼프린젠스
2023,04,312,2,황색포도상구균
2023,03,10,1,기타바이러스
2023,03,10,1,기타세균
2023,03,107,12,노로바이러스
