CPI_YEAR,CPI_MM,CPI_REGN,CPI_VALUE
2002,1,서울,65.403
2002,2,서울,65.65
2002,3,서울,66.083
2002,4,서울,66.454
2002,5,서울,66.764
2002,6,서울,66.701
2002,7,서울,66.516
2002,8,서울,66.887
2002,9,서울,67.258
2002,10,서울,67.135
2002,11,서울,67.258
2002,12,서울,67.568
2003,1,서울,67.877
2003,2,서울,68.248
2003,3,서울,69.112
2003,4,서울,69.112
2003,5,서울,69.112
2003,6,서울,68.989
2003,7,서울,68.865
2003,8,서울,69.175
2003,9,서울,69.792
2003,10,서울,69.855
2003,11,서울,69.855
2003,12,서울,70.163
2004,1,서울,70.596
2004,2,서울,70.905
2004,3,서울,71.585
2004,4,서울,71.523
2004,5,서울,71.585
2004,6,서울,71.585
2004,7,서울,72.018
2004,8,서울,72.574
2004,9,서울,72.636
2004,10,서울,72.761
2004,11,서울,72.327
2004,12,서울,72.389
2005,1,서울,73.085
2005,2,서울,73.38
2005,3,서울,73.749
2005,4,서울,73.749
2005,5,서울,73.675
2005,6,서울,73.453
2005,7,서울,73.749
2005,8,서울,73.896
2005,9,서울,74.191
2005,10,서울,74.118
2005,11,서울,73.896
2005,12,서울,74.118
2006,1,서울,74.487
2006,2,서울,74.708
2006,3,서울,75.002
2006,4,서울,75.15
2006,5,서울,75.224
2006,6,서울,75.077
2006,7,서울,75.297
2006,8,서울,75.74
2006,9,서울,75.888
2006,10,서울,75.666
2006,11,서울,75.446
2006,12,서울,75.666
2007,1,서울,75.814
2007,2,서울,76.256
2007,3,서울,76.699
2007,4,서울,77.068
2007,5,서울,77.141
2007,6,서울,77.141
2007,7,서울,77.362
2007,8,서울,77.436
2007,9,서울,77.878
2007,10,서울,77.953
2007,11,서울,78.026
2007,12,서울,78.248
2008,1,서울,78.69
2008,2,서울,78.912
2008,3,서울,79.428
2008,4,서울,79.796
2008,5,서울,80.313
2008,6,서울,80.681
2008,7,서울,81.197
2008,8,서울,81.124
2008,9,서울,81.345
2008,10,서울,81.419
2008,11,서울,81.272
2008,12,서울,81.419
2009,1,서울,81.64
2009,2,서울,82.008
2009,3,서울,82.525
2009,4,서울,82.746
2009,5,서울,82.746
2009,6,서울,82.746
2009,7,서울,83.041
2009,8,서울,83.262
2009,9,서울,83.337
2009,10,서울,83.188
2009,11,서울,83.262
2009,12,서울,83.557
2010,1,서울,84.055
2010,2,서울,84.225
2010,3,서울,84.566
2010,4,서울,84.906
2010,5,서울,84.906
2010,6,서울,84.736
2010,7,서울,84.991
2010,8,서울,85.417
2010,9,서울,86.183
2010,10,서울,86.183
2010,11,서울,85.758
2010,12,서울,86.013
2011,1,서울,86.95
2011,2,서울,87.461
2011,3,서울,87.801
2011,4,서울,87.886
2011,5,서울,88.057
2011,6,서울,88.227
2011,7,서울,88.654
2011,8,서울,89.25
2011,9,서울,89.164
2011,10,서울,89.079
2011,11,서울,89.079
2011,12,서울,89.335
2012,1,서울,89.829
2012,2,서울,90.203
2012,3,서울,90.322
2012,4,서울,90.356
2012,5,서울,90.45
2012,6,서울,90.356
2012,7,서울,90.305
2012,8,서울,90.842
2012,9,서울,91.455
2012,10,서울,91.225
2012,11,서울,90.867
2012,12,서울,91.055
2013,1,서울,91.549
2013,2,서울,91.804
2013,3,서울,91.719
2013,4,서울,91.702
2013,5,서울,91.702
2013,6,서울,91.566
2013,7,서울,91.745
2013,8,서울,92.076
2013,9,서울,92.29
2013,10,서울,92.051
2013,11,서울,92.042
2013,12,서울,92.179
2014,1,서울,92.689
2014,2,서울,92.877
2014,3,서울,93.09
2014,4,서울,93.268
2014,5,서울,93.414
2014,6,서울,93.32
2014,7,서울,93.516
2014,8,서울,93.746
2014,9,서울,93.652
2014,10,서울,93.38
2014,11,서울,93.268
2014,12,서울,93.38
2015,1,서울,93.989
2015,2,서울,94.055
2015,3,서울,93.97
2015,4,서울,94.122
2015,5,서울,94.301
2015,6,서울,94.31
2015,7,서울,94.717
2015,8,서울,94.953
2015,9,서울,94.811
2015,10,서울,94.783
2015,11,서울,94.641
2015,12,서울,94.991
2016,1,서울,95.066
2016,2,서울,95.444
2016,3,서울,95.142
2016,4,서울,95.302
2016,5,서울,95.34
2016,6,서울,95.293
2016,7,서울,95.189
2016,8,서울,95.557
2016,9,서울,96.096
2016,10,서울,96.228
2016,11,서울,96.105
2016,12,서울,96.257
2017,1,서울,97.088
2017,2,서울,97.305
2017,3,서울,97.371
2017,4,서울,97.286
2017,5,서울,97.419
2017,6,서울,97.277
2017,7,서울,97.57
2017,8,서울,98.146
2017,9,서울,98.042
2017,10,서울,97.796
2017,11,서울,97.173
2017,12,서울,97.456
2018,1,서울,97.844
2018,2,서울,98.552
2018,3,서울,98.543
2018,4,서울,98.77
2018,5,서울,98.779
2018,6,서울,98.429
2018,7,서울,98.392
2018,8,서울,99.232
2018,9,서울,99.856
2018,10,서울,99.506
2018,11,서울,98.977
2018,12,서울,98.713
2019,1,서울,98.76
2019,2,서울,99.261
2019,3,서울,99.062
2019,4,서울,99.44
2019,5,서울,99.487
2019,6,서울,99.355
2019,7,서울,99.11
2019,8,서울,99.393
2019,9,서울,99.733
2019,10,서울,99.95
2019,11,서울,99.421
2019,12,서울,99.61
2020,1,서울,99.8
2020,2,서울,99.84
2020,3,서울,99.83
2020,4,서울,99.61
2020,5,서울,99.65
2020,6,서울,99.91
2020,7,서울,99.74
2020,8,서울,100.27
2020,9,서울,100.7
2020,10,서울,100.23
2020,11,서울,100.14
2020,12,서울,100.27
2021,1,서울,100.86
2021,2,서울,101.33
2021,3,서울,101.57
2021,4,서울,101.68
2021,5,서울,101.74
2021,6,서울,101.68
2021,7,서울,101.88
2021,8,서울,102.33
2021,9,서울,102.67
2021,10,서울,102.9
2021,11,서울,103.2
2021,12,서울,103.32
2022,1,서울,104.09
2022,2,서울,104.7
2022,3,서울,105.09
2022,4,서울,105.73
2022,5,서울,106.29
2022,6,서울,106.85
2022,7,서울,107.47
2022,8,서울,107.65
2022,9,서울,107.78
2022,10,서울,108.12
2022,11,서울,108
2022,12,서울,108.46
2002,1,부산,65.777
2002,2,부산,66.278
2002,3,부산,66.466
2002,4,부산,66.718
2002,5,부산,66.905
2002,6,부산,66.905
2002,7,부산,66.905
2002,8,부산,67.344
2002,9,부산,67.784
2002,10,부산,67.344
2002,11,부산,67.344
2002,12,부산,67.784
2003,1,부산,68.473
2003,2,부산,68.786
2003,3,부산,69.665
2003,4,부산,69.288
