HOL_YEAR,HOL_MM,HOL_START_DATE,HOL_END_DATE,HOL_NM,HOL_DUR
2002,2,2002-02-09,2002-02-17,"주말, 설날, 2일 휴가",9
2002,3,2002-03-01,2002-03-03,"삼일절, 주말",3
2002,4,2002-04-05,2002-04-07,"식목일, 주말",3
2002,6,2002-06-06,2002-06-09,"현충일, 주말, 1일 휴가",4
2002,8,2002-08-15,2002-08-18,"광복절, 주말, 1일 휴가",4
2002,9,2002-09-20,2002-09-22,"추석, 주말",3
2002,10,2002-10-03,2002-10-06,"개천절, 주말, 1일 휴가",4
2003,5,2003-05-03,2003-05-05,"주말, 어린이날",3
2003,6,2003-06-06,2003-06-08,"현충일, 주말",3
2003,7,2003-07-17,2003-07-20,"제헌절, 주말, 1일 휴가",4
2003,8,2003-08-15,2003-08-17,"광복절, 주말",3
2003,9,2003-09-10,2003-09-14,"추석, 주말",5
2003,10,2003-10-03,2003-10-05,"개천절, 주말",3
2003,12,2003-12-25,2003-12-28,"성탄절, 주말, 1일 휴가",4
2004,1,2004-01-01,2004-01-04,"신정, 주말, 1일 휴가",4
2004,1,2004-01-21,2004-01-25,"설날, 주말",5
2004,2,2004-02-28,2004-03-01,"주말, 삼일절",3
2004,4,2004-04-03,2004-04-05,"주말, 식목일",3
2004,9,2004-09-25,2004-09-30,"추석, 주말",5
2005,2,2005-02-08,2005-02-13,"설날, 주말, 1일 휴가",6
2005,4,2005-04-02,2005-04-05,"식목일, 주말, 1일 휴가",4
2005,5,2005-05-05,2005-05-08,"어린이날, 주말, 1일 휴가",4
2005,6,2005-06-04,2005-06-06,"주말, 현충일",3
2005,8,2005-08-13,2005-08-15,"주말, 광복절",3
2005,9,2005-09-17,2005-09-19,"주말, 추석",3
2005,10,2005-10-01,2005-10-03,"주말, 개천절",3
2006,1,2006-01-28,2006-01-30,"설날, 주말",3
2006,5,2006-05-05,2006-05-07,"부처님오신날, 어린이날, 주말",3
2006,6,2006-06-03,2006-06-06,"현충일, 주말, 1일 휴가",4
2006,7,2006-07-15,2006-07-17,"주말, 제헌절",3
2006,8,2006-08-12,2006-08-15,"광복절, 주말, 1일 휴가",4
2006,10,2006-09-30,2006-10-08,"개천절, 추석, 2일 휴가",9
2006,12,2006-12-23,2006-12-25,"주말, 성탄절",3
2006,12,2006-12-30,2007-01-01,"주말, 신정",3
2007,2,2007-02-17,2007-02-19,"주말, 설날",3
2007,3,2007-03-01,2007-03-04,"삼일절, 주말, 1일 휴가",4
2007,5,2007-05-24,2007-05-27,"부처님오신날, 주말, 1일 휴가",4
2007,7,2007-07-14,2007-07-17,"제헌절, 주말, 1일 휴가",4
2007,9,2007-09-22,2007-09-26,"주말, 추석",5
2007,12,2007-12-22,2007-12-25,"성탄절, 주말, 1일 휴가",4
2008,2,2008-02-06,2008-02-10,"설날, 주말",5
2008,5,2008-05-03,2008-05-05,"주말, 어린이날",3
2008,5,2008-05-10,2008-05-12,"주말, 부처님오신날",3
2008,6,2008-06-06,2008-06-08,"현충일, 주말",3
2008,8,2008-08-15,2008-08-17,"광복절, 주말",3
2008,9,2008-09-13,2008-09-15,"주말, 추석",3
2008,10,2008-10-03,2008-10-05,"개천절, 주말",3
2008,12,2008-12-25,2008-12-28,"성탄절, 주말, 1일 휴가",4
2009,1,2009-01-01,2009-01-04,"주말, 신정, 1일 휴가",4
2009,1,2009-01-24,2009-01-27,"주말, 설날",4
2009,5,2009-05-02,2009-05-05,"주말, 어린이날, 1일 휴가",4
2009,10,2009-10-02,2009-10-06,"추석, 주말",3
2009,12,2009-12-25,2009-12-27,"성탄절, 주말",3
2010,1,2010-01-01,2010-01-03,"신정, 주말",3
2010,2,2010-02-13,2010-02-15,"주말, 설날",3
2010,2,2010-02-27,2010-03-01,"주말, 삼일절",3
2010,5,2010-05-21,2010-05-23,"부처님오신날, 주말",3
2010,9,2010-09-18,2010-09-26,"추석, 주말, 2일 휴가",9
2011,2,2011-02-02,2011-02-06,"설날, 주말",5
2011,2,2011-02-26,2011-03-01,"삼일절, 주말, 1일 휴가",4
2011,5,2011-05-05,2011-05-10,"어린이날, 부처님오신날, 주말, 2일 휴가",6
2011,6,2011-06-04,2011-06-06,"주말, 현충일",3
2011,8,2011-08-13,2011-08-15,"주말, 광복절",3
2011,9,2011-09-10,2011-09-13,"주말, 추석",4
2011,10,2011-10-01,2011-10-03,"주말, 개천절",3
2012,1,2012-01-21,2012-01-24,"주말, 설날",4
2012,3,2012-03-01,2012-03-04,"삼일절, 주말, 1일 휴가",4
