WTHR_YEAR,WTHR_MM,WTHR_REGN,WTHR_AVG_TEMP,WTHR_AVG_H_TEMP,WTHR_AVG_L_TEMP,WTHR_AVG_PRECIP,WTHR_AVG_WNDSPD,WTHR_MX_WNDSPD,WTHR_AVG_PRESS,WTHR_MX_PRESS,WTHR_MN_PRESS,WTHR_AVG_SEA_PRESS,WTHR_MX_SEA_PRESS,WTHR_MN_SEA_PRESS,WTHR_AVG_RHUM,WTHR_MN_RHUM,WTHR_SUM_SUNHR
2024,1,강원,-1.3,3.5,-5.7,19.2,1.6,7.2,1021.2,1032.2,1008.3,1026.7,1039.7,1016.7,74,24,206.1
2024,2,강원,1.7,6.5,-2.4,93.2,1.4,6.8,1023.1,1033.4,1004.2,1027,1037.1,1009.5,86,31,146
2024,3,강원,5.1,10.8,-0.5,50.1,1.8,7.9,1015.2,1026,997.6,1019.2,1034.1,1004,65,16,221.1
2024,4,강원,14.1,20.6,8.1,38.4,1.6,6.8,1012.1,1026.3,1003,1015.7,1030.7,1005.6,70,21,240.7
2024,5,강원,17,23.6,10.7,93.7,1.8,7.4,1009.7,1020.8,993.6,1013.4,1024,1000.6,71,21,282
2024,6,강원,22.3,28.5,16.6,122.4,1.4,6,1004.8,1017.7,991.3,1008.1,1023.2,995.6,74,25,299.6
2024,7,강원,25.6,29.6,22.5,333.9,1.7,8.2,1003.1,1013.5,993.9,1007.1,1017.6,999.2,87,49,162.1
2024,8,강원,27,32.1,23.1,95.3,1.4,6.1,1005.7,1010.8,997,1008.6,1014.6,1001.8,85,44,257.3
2024,9,강원,22.4,27.3,18.6,289,1.4,6.7,1012.7,1022.4,1002.2,1015.3,1025.4,1005,90,48,192.8
2024,1,경기,-1.6,3.2,-5.9,17.9,1.2,6,1022.9,1032.2,1012.8,1026.8,1036.4,1017.4,75,29,175.1
2024,2,경기,2.8,8,-1.6,72.5,1.3,5.9,1021.8,1030.6,1005.7,1025.7,1034.6,1009.6,80,33,130.1
2024,3,경기,6,12.3,0.2,30.8,1.8,7.3,1015.5,1027.6,1000.2,1019.6,1031.8,1004.8,66,15,212.3
2024,4,경기,15.1,22.3,9,44.1,1.4,5.6,1011,1023.7,1000.9,1014.7,1028.2,1005,69,21,221.6
2024,5,경기,17.3,23.6,11.6,117.4,1.5,6.6,1010.2,1017.7,997.8,1013.9,1021.8,1001.9,79,29,266.5
2024,6,경기,23,29.5,17,120.1,1.3,5.5,1004.6,1016.5,990.6,1008.4,1020.5,995.7,77,34,295
2024,7,경기,25.8,29.5,22.9,533.5,1.6,7.5,1003.2,1012.4,996.3,1007.4,1017.2,999.7,91,57,114.8
2024,8,경기,27.8,32.8,24.3,121.1,1.1,5.5,1004.1,1009.1,997.8,1008,1012.9,1002.6,87,49,236.2
2024,9,경기,24,29,20.1,199.4,1.2,5.2,1010.3,1019.4,1001.9,1014.1,1024,1005.7,86,48,183.8
2024,1,경남,2.8,8.5,-2,33.5,1.6,7.5,1022.6,1032,1013.9,1025.1,1033.8,1016.7,75,24,205.2
2024,2,경남,5.7,10.7,1.5,137.5,1.5,7.5,1022.6,1031.3,1007.1,1024.7,1033.3,1009.4,79,28,127.2
2024,3,경남,8.4,14.3,2.8,103.4,1.9,8.2,1016.6,1029,1001.4,1018.8,1031.4,1004.3,64,16,209.3
2024,4,경남,15.5,21.8,10.1,141.3,1.3,5.6,1012.6,1027.5,1002.4,1014.4,1028.9,1004,77,28,182.4
2024,5,경남,18.6,25.4,12.4,149.4,1.6,7.7,1012,1019.9,998.5,1013.8,1021.6,1001.1,70,22,291.2
2024,6,경남,23.1,28.8,18.2,183.1,1.4,6.1,1006.8,1018.9,995.1,1008.7,1020.9,997.2,79,37,236.6
2024,7,경남,26.8,30.6,23.9,278.3,1.7,6.7,1006.7,1017,997.9,1008.7,1018.8,1000,89,61,169.3
2024,8,경남,28.6,34,24.7,83.8,1.4,6.5,1005.9,1011.6,999.4,1007.7,1013.5,1002.6,81,44,283.4
2024,9,경남,25.8,31,22.1,316.1,1.3,5.6,1011.7,1020.2,1001.4,1013.6,1022.8,1003.4,88,45,207.7
2024,1,경북,1,6,-3.4,31,2.3,8.6,1022.7,1032.8,1013.7,1025.8,1036.7,1016.7,74,40,201.7
2024,2,경북,3.9,8.6,-0.1,84.7,2.1,9.1,1023.5,1032.8,1006.2,1025.8,1035.3,1009,79,37,109.7
2024,3,경북,6.9,12.6,1.3,65.3,2.4,9.4,1016.9,1028.5,1000.9,1019.1,1031.7,1003.9,69,26,209.5
2024,4,경북,14.7,20.9,9,58.9,2,7.6,1013.3,1027.7,1004.4,1014.8,1030.1,1005.8,76,29,204.3
2024,5,경북,17.5,24.2,11,92,2.1,8.6,1012,1021.8,997.7,1013.7,1023.4,1000.5,72,23,289.4
2024,6,경북,22.7,28.7,17.2,91.4,1.7,6.5,1006.7,1019.4,994.9,1008.3,1021.2,996.9,81,36,278
