iter	Passed	Remaining
0	14	14591	1	24	1202	22	33	113	333	44	14	44	53	105	555	66	16	75	6	6	807	84	7	89	18	99	8	101	9	112	9	115	10	12510	132	11	14711	150	12	15512	163	13	171113	17514	194114	19515	213	13150
16	237	13713
17	254	17	26818	288	14897
19	295	19	308	15114
20	319	14889
21	331	14739
22	348	14786
23	360	14657
24	375	14635
25	383	14354
26	394	14223
27	401	13934
28	411	13789
29	425	13762
30	434	13596
31	445	13464
32	453	13282
33	463	13173
34	477	13155
35	485	13011
36	496	12921
37	507	12852
38	516	12728
39	527	12654
40	539	12611
41	550	12546
42	557	12414
43	569	12378
44	579	12298
45	588	12213
46	599	12165
47	609	12092
48	620	12040
49	632	12014
50	651	12116
51	672	12265
52	687	12285
53	701	12293
54	720	12377
55	733	12360
56	742	12275
57	753	12240
58	765	12212
59	777	12187
60	791	12191
61	799	12099
62	811	12071
63	824	12059
64	835	12014
65	851	12051
66	871	12142
67	884	12127
68	920	12423
69	933	12408
70	950	12436
71	964	12433
72	993	12613
73	1005	12583
74	1018	12564
75	1033	12565
76	1050	12596
77	1066	12601
78	1084	12638
79	1095	12595
80	1103	12518
81	1118	12517
82	1139	12594
83	1152	12562
84	1167	12567
85	1182	12566
86	1188	12476
87	1198	12417
88	1209	12375
89	1221	12349
90	1233	12324
91	1245	12296
92	1260	12294
93	1269	12233
94	1279	12193
95	1288	12130
96	1300	12102
97	1309	12055
98	1321	12027
99	1336	12032
100	1347	11993
101	1358	11961
102	1370	11932
103	1384	11931
104	1397	11909
105	1409	11891
106	1434	11970
107	1462	12080
108	1477	12081
109	1484	12012
110	1495	11976
111	1506	11947
112	1514	11884
113	1525	11855
114	1536	11821
115	1548	11798
116	1560	11775
117	1569	11734
118	1581	11708
119	1594	11694
120	1607	11678
121	1618	11646
122	1626	11597
123	1644	11616
124	1660	11625
125	1668	11573
126	1678	11541
127	1693	11533
128	1702	11497
129	1712	11462
130	1728	11465
131	1743	11465
132	1753	11430
133	1764	11401
134	1781	11411
135	1789	11369
136	1797	11322
137	1807	11288
138	1814	11240
139	1824	11207
140	1834	11175
141	1845	11151
142	1853	11107
143	1863	11074
144	1872	11038
145	1885	11029
146	1892	10982
147	1904	10964
148	1912	10923
149	1921	10888
150	1936	10889
151	1944	10848
152	1963	10868
153	1981	10882
154	1988	10837
155	1999	10820
156	2010	10795
157	2026	10799
158	2036	10773
159	2049	10757
160	2057	10723
161	2067	10697
162	2081	10690
163	2097	10690
164	2108	10669
165	2117	10639
166	2125	10603
167	2136	10582
168	2144	10544
169	2154	10518
170	2163	10488
171	2171	10453
172	2183	10438
173	2198	10435
174	2211	10426
175	2222	10407
176	2229	10367
177	2236	10326
178	2257	10356
179	2269	10339
180	2280	10321
181	2286	10278
182	2299	10265
183	2310	10244
184	2320	10223
185	2329	10194
186	2338	10164
187	2350	10150
188	2357	10116
189	2366	10087
190	2374	10058
191	2386	10045
192	2398	10027
193	2409	10009
194	2420	9990
195	2431	9974
196	2443	9959
197	2451	9928
198	2461	9907
199	2472	9890
200	2481	9865
201	2490	9836
202	2505	9837
203	2514	9811
204	2527	9801
205	2541	9794
206	2551	9776
207	2567	9777
208	2575	9747
209	2589	9741
210	2596	9709
211	2605	9684
212	2611	9650
213	2622	9632
214	2632	9613
215	2645	9600
216	2656	9584
217	2666	9565
218	2677	9549
219	2688	9532
220	2700	9518
221	2710	9497
222	2716	9466
223	2726	9444
224	2741	9441
225	2756	9439
226	2770	9435
227	2788	9440
228	2798	9422
229	2813	9417
230	2841	9457
231	2859	9465
232	2868	9443
233	2893	9471
234	2905	9457
235	2912	9429
236	2924	9415
237	2937	9404
238	2950	9396
239	2961	9378
240	2982	9392
241	3006	9417
242	3020	9410
243	3037	9411
244	3054	9413
245	3071	9412
246	3084	9403
247	3093	9379
248	3106	9368
249	3119	9357
