OCCRNC_YEAR,OCCRNC_MM,PATNT_CNT,OCCRNC_CNT,OCCRNC_AREA
2024,09,14,2,서울
2024,09,208,3,강원
2024,09,2,1,충북
2024,09,4,1,충남
2024,09,2,1,전북
2024,09,23,3,전남
2024,09,9,2,경북
2024,09,19,3,경남
2024,09,6,2,제주
2024,09,24,2,부산
2024,09,7,1,대구
2024,09,31,1,인천
2024,09,2,1,광주
2024,09,287,11,경기
2024,08,133,5,서울
2024,08,27,3,강원
2024,08,77,3,충북
2024,08,8,1,충남
2024,08,62,1,전북
2024,08,10,3,경북
2024,08,94,9,경남
2024,08,5,1,제주
2024,08,22,4,부산
2024,08,21,1,광주
2024,08,116,3,대전
2024,08,3,1,울산
2024,08,219,11,경기
2024,07,74,7,서울
2024,07,52,3,강원
2024,07,58,2,충북
2024,07,28,3,충남
2024,07,1038,2,전북
2024,07,33,2,전남
2024,07,91,3,경북
2024,07,153,5,경남
2024,07,16,5,제주
2024,07,50,7,부산
2024,07,19,2,대구
2024,07,27,2,광주
2024,07,20,2,울산
2024,07,307,11,경기
2024,06,4,1,서울
2024,06,38,3,강원
2024,06,79,1,충북
2024,06,29,1,충남
2024,06,4,1,전북
2024,06,36,3,전남
2024,06,5,1,경북
2024,06,96,5,경남
2024,06,4,1,제주
2024,06,18,3,부산
2024,06,9,2,대구
2024,06,33,1,인천
2024,06,2,1,대전
2024,06,17,1,울산
2024,06,11,2,세종
2024,06,70,4,경기
2024,05,87,9,서울
2024,05,19,2,강원
2024,05,86,4,충북
2024,05,15,3,충남
2024,05,142,2,전북
2024,05,8,2,전남
2024,05,73,7,경북
2024,05,77,4,경남
2024,05,150,2,제주
2024,05,16,5,부산
2024,05,35,1,대구
2024,05,9,1,인천
2024,05,18,1,대전
2024,05,113,1,울산
2024,05,63,7,경기
2024,04,223,6,서울
2024,04,31,2,충북
2024,04,41,2,충남
2024,04,122,2,전북
2024,04,11,1,전남
2024,04,21,3,경북
2024,04,190,8,경남
2024,04,20,1,제주
2024,04,142,9,부산
2024,04,29,1,대구
2024,04,26,2,인천
2024,04,2,1,대전
2024,04,15,1,울산
2024,04,221,11,경기
2024,04,13,1,청주
2024,03,227,8,서울
2024,03,55,3,강원
2024,03,29,2,충북
2024,03,21,1,전남
2024,03,196,7,경북
2024,03,28,1,경남
2024,03,15,2,제주
2024,03,84,2,부산
2024,03,25,1,대구
2024,03,2,1,광주
2024,03,30,2,대전
2024,03,42,4,울산
2024,03,19,1,세종
2024,03,155,14,경기
2024,03,30,1,본부
2024,02,102,6,서울
2024,02,23,3,강원
2024,02,37,4,충북
2024,02,15,1,전북
2024,02,5,1,경북
2024,02,3,1,경남
2024,02,9,3,부산
2024,02,7,1,인천
2024,02,6,1,대전
2024,02,24,1,울산
2024,02,61,5,경기
2024,01,121,9,서울
2024,01,25,4,강원
2024,01,28,2,충북
2024,01,14,2,충남
2024,01,24,3,전북
2024,01,9,2,경북
2024,01,22,4,경남
2024,01,57,4,제주
2024,01,92,8,부산
2024,01,32,4,대구
2024,01,18,1,광주
2024,01,48,3,울산
2024,01,162,5,경기
2024,01,9,1,청주
2023,12,221,4,서울
2023,12,3,1,충북
2023,12,9,1,충남
2023,12,20,2,전북
2023,12,9,2,경북
2023,12,11,2,경남
2023,12,24,2,부산
2023,12,4,2,대전
2023,12,14,3,경기
2023,11,58,1,서울
2023,11,12,3,강원
2023,11,5,1,전북
2023,11,72,2,전남
2023,11,111,2,경북
2023,11,32,3,경남
2023,11,12,1,제주
2023,11,5,2,부산
2023,11,26,1,인천
2023,11,19,1,광주
2023,11,6,1,대전
2023,11,89,1,경기
2023,10,59,2,서울
2023,10,36,5,강원
2023,10,264,2,충북
2023,10,32,1,충남
2023,10,49,2,전남
2023,10,21,2,경북
2023,10,89,4,경남
2023,10,17,2,제주
2023,10,102,5,부산
2023,10,18,1,인천
2023,10,7,1,광주
2023,10,41,2,울산
2023,09,115,2,서울
2023,09,152,4,강원
2023,09,15,2,충남
2023,09,107,1,전북
2023,09,34,2,전남
2023,09,18,2,경북
2023,09,30,3,경남
2023,09,4,2,제주
2023,09,161,9,부산
2023,09,156,2,대구
2023,09,28,3,인천
2023,09,498,2,광주
2023,09,2,1,대전
2023,09,22,1,울산
2023,09,248,7,경기
2023,08,392,4,서울
2023,08,24,3,강원
2023,08,80,2,충북
2023,08,104,3,충남
2023,08,28,1,전북
2023,08,6,1,전남
2023,08,22,3,경북
2023,08,35,3,경남
2023,08,44,2,제주
2023,08,158,6,부산
2023,08,40,2,대구
2023,08,2,1,세종
2023,08,42,6,경기
2023,07,6,1,서울
2023,07,201,4,강원
2023,07,62,3,충북
2023,07,40,1,충남
2023,07,80,2,전북
2023,07,4,1,전남
2023,07,26,3,경북
2023,07,56,6,경남
2023,07,2,1,제주
2023,07,291,7,부산
2023,07,16,1,대구
